index,Publishing Year,Book_average_rating,Book_ratings_count,gross sales,publisher revenue,sale price,sales rank,units sold,Popularitas_Buku
321,2016.0,4.32,116771,1041.39,0.0,3.99,343,261.0,1
322,1990.0,3.86,99831,777.4,0.0,2.99,344,260.0,1
323,1999.0,4.0,54937,771.42,462.852,2.99,345,258.0,1
324,1947.5,3.97,119607,1527.45,916.47,5.99,347,255.0,1
325,2000.0,3.8,114917,997.5,0.0,3.99,350,250.0,1
326,1978.0,4.03,117108,997.5,598.5,3.99,350,250.0,1
327,2014.0,4.26,104939,246.51,147.906,0.99,351,249.0,1
328,2008.0,4.15,109236,744.51,446.706,2.99,351,249.0,1
329,1988.0,3.94,105032,1635.93,981.558,6.57,352,249.0,1
330,2013.0,4.23,134022,3161.19625,0.0,12.99,353,248.0,1
331,2014.0,4.77,73572,741.52,444.912,2.99,354,248.0,1
332,1988.0,4.36,104690,738.53,0.0,2.99,355,247.0,1
333,2001.0,4.26,103552,1141.14,684.684,4.62,356,247.0,1
334,1978.0,3.96,104248,244.53,146.718,0.99,356,247.0,1
335,1974.0,3.96,102574,1227.54,736.524,4.99,357,246.0,1
336,2005.0,3.91,98379,977.55,0.0,3.99,359,245.0,1
337,1947.5,4.11,123065,977.55,586.53,3.99,360,245.0,1
338,2006.0,3.73,101669,1698.57,1019.142,6.99,363,243.0,1
339,2005.0,4.3,102923,726.57,435.942,2.99,364,243.0,1
340,2010.0,3.88,127379,1494.45,896.67,6.15,364,243.0,1
341,1947.5,3.97,95803,965.58,0.0,3.99,366,242.0,1
342,1999.0,3.95,130213,1202.59,721.554,4.99,367,241.0,1
343,2012.0,4.0,92849,2566.65,1539.99,10.65,368,241.0,1
344,2007.0,3.69,131034,1197.6,718.56,4.99,370,240.0,1
345,1947.5,4.13,105473,236.61,141.966,0.99,371,239.0,1
346,1979.0,4.17,109110,953.61,0.0,3.99,372,239.0,1
347,1998.0,4.12,98276,1544.62,926.772,6.49,373,238.0,1
348,1947.5,3.72,97468,1419.63,851.778,5.99,375,237.0,1
349,2008.0,4.03,132285,471.63,0.0,1.99,376,237.0,1
350,1985.0,4.04,102419,1182.63,709.578,4.99,376,237.0,1
351,1978.0,4.16,93475,708.63,0.0,2.99,376,237.0,1
352,2000.0,3.95,98464,1885.64,1131.384,7.99,378,236.0,1
353,2014.0,4.07,73149,1642.65,985.59,6.99,380,235.0,1
354,1999.0,3.83,55381,933.66,560.196,3.99,381,234.0,1
355,2014.0,3.93,99729,463.67,278.202,1.99,383,233.0,1
356,1947.5,3.72,103547,461.68,277.008,1.99,385,6264.0,1
357,1955.0,4.24,107221,925.68,0.0,3.99,385,6264.0,1
358,2006.0,4.35,137558,2460.15,1476.09,10.65,387,6237.0,1
359,1953.0,4.23,96865,690.69,414.414,2.99,388,6237.0,1
360,2001.0,4.04,111371,687.7,412.62,2.99,389,6210.0,1
361,2011.0,3.9,90083,2509.3,1505.58,10.91,389,6210.0,1
362,2002.0,4.49,93990,226.71,0.0,0.99,391,6183.0,1
363,1989.0,4.32,108652,1142.71,0.0,4.99,392,6183.0,1
364,2005.0,3.86,94590,909.72,0.0,3.99,393,6156.0,1
365,2003.0,4.07,101343,3161.19625,1802.9512499999998,25.89,393,6156.0,1
366,1973.0,4.06,93151,1468.69,881.214,6.47,395,6129.0,1
367,1988.0,3.86,110693,223.74,134.244,0.99,397,6102.0,1
368,1947.5,3.93,102646,1188.76,713.256,5.26,398,6102.0,1
369,1976.0,4.11,96564,897.75,538.65,3.99,400,6075.0,1
370,2001.0,4.0,104283,221.76,0.0,0.99,401,6048.0,1
371,1992.0,4.08,98591,1274.56,764.736,5.69,401,6048.0,1
